,gene1,gene2,both,odds_ratio,pvalue,n1,n2,expected,FDR,log2_OR,testable,exclusivity_reliable
127,JAG1,COL1A2,440,8.973411774534311,2.137332188991971e-201,1478,1644,86.27745623690657,2.3357987493983687e-200,3.165656615507864,True,True
129,JAG1,PDGFRB,338,10.961758190945442,3.7042198499377696e-180,1478,1041,54.6318929091361,3.542160231502992e-179,3.454407310149831,True,True
130,JAG1,ANGPT2,108,1.997177987911297,1.2455762955305618e-09,1478,1125,59.04023008912403,1.9057317321617594e-09,0.9979629110665356,True,True
132,FLT1,PDGFB,108,1.7502999143101972,5.528726786397181e-07,1469,1270,66.24400809572843,7.355610420163205e-07,0.8076021493807846,True,True
133,FLT1,COL1A2,22,0.24020214439113183,2.3672215814471786e-17,1469,1644,85.75208607037602,4.584619012169852e-17,-2.057679064207503,True,True
134,FLT1,APLN,61,2.7616226392365077,1.014099103154233e-10,1469,476,24.8284628768242,1.6332332924483963e-10,1.4655161966067516,True,True
135,FLT1,PDGFRB,20,0.355453135307346,5.173304298080245e-08,1469,1041,54.29922238397898,7.261610620241077e-08,-1.4922687345267864,True,True
136,FLT1,ANGPT2,143,2.8311077094536983,2.9019030244942246e-23,1469,1125,58.68071583283031,6.43465453257415e-23,1.5013666376006818,True,True
137,FLT1,ICAM1,75,2.4059458511019733,2.7170681175970324e-10,1469,662,34.53034122785215,4.2856847628076906e-10,1.2666041731766056,True,True
138,PDGFB,COL1A2,23,0.293601696145915,9.77852437368552e-13,1270,1644,74.13556794375599,1.6087249776063274e-12,-1.7680677921890977,True,True
139,PDGFB,APLN,79,4.4475870751154005,6.764952335978698e-24,1270,476,21.465042786634946,1.522114275595207e-23,2.153022850935367,True,True
140,PDGFB,PDGFRB,27,0.5641449881423818,0.0017182496752212336,1270,1041,46.94350743883819,0.001991607578097339,-0.8258621046172868,True,True
141,PDGFB,ANGPT2,149,3.53804029102089,6.452883038806236e-33,1270,1125,50.731456165891416,1.7320896577848317e-32,1.8229504774588552,True,True
142,PDGFB,ICAM1,78,2.963052511329542,9.957765874214618e-15,1270,662,29.85264353939566,1.7715560218079496e-14,1.5670841940222549,True,True
143,COL1A2,APLN,5,0.18533280165531676,1.0984071496887691e-07,1644,476,27.786244363171537,1.4872238398440855e-07,-2.431809851420553,True,True
144,COL1A2,PDGFRB,423,14.519282486281396,1.5630361570574506e-255,1644,1041,60.76781592870078,2.1740412002708178e-254,3.859898254897281,True,True
146,COL1A2,ICAM1,15,0.3800808216273083,1.5548447064469128e-05,1644,662,38.64389447146966,1.934075122653477e-05,-1.3956218643236897,True,True
148,APLN,ANGPT2,76,4.848263753205111,3.478899632289169e-25,476,1125,19.014309555090012,8.064721874852164e-25,2.2774681858344867,True,True
149,APLN,ICAM1,23,2.1917610660892217,0.0011410993146394625,476,662,11.188864822639633,0.0013429861164602904,1.1320905320773458,True,True
151,PDGFRB,ICAM1,11,0.45343388880138136,0.0032650919552986817,1041,662,24.469765294890458,0.003728052754930584,-1.1410358754482084,True,True
152,ANGPT2,ICAM1,41,1.6265563875081739,0.006323987839724545,1125,662,26.444270851826865,0.0071144863196901135,0.7018208368692523,True,True
