state_code,binary_state,n_cells,pct_all_cells,pct_expressed_cells,cluster_id,nearest_neighbor_hamming
1_7_9,100000101000000000,10,0.047587322737222805,0.07408504963698326,12,0.05555555555555555
1_4_9,100100001000000000,10,0.047587322737222805,0.07408504963698326,12,0.05555555555555555
1_4_6_7_8,100101110000000000,10,0.047587322737222805,0.07408504963698326,21,0.05555555555555555
1_2_7_9,110000101000000000,10,0.047587322737222805,0.07408504963698326,12,0.05555555555555555
2_4_6,010101000000000000,10,0.047587322737222805,0.07408504963698326,5,0.05555555555555555
1_4_7_11,100100100010000000,10,0.047587322737222805,0.07408504963698326,14,0.05555555555555555
7_12,000000100001000000,9,0.04282859046350052,0.06667654467328493,8,0.05555555555555555
2_7_8,010000110000000000,9,0.04282859046350052,0.06667654467328493,3,0.05555555555555555
7_11_14,000000100010010000,9,0.04282859046350052,0.06667654467328493,2,0.05555555555555555
4_8_17,000100010000000010,9,0.04282859046350052,0.06667654467328493,13,0.05555555555555555
5_17,000010000000000010,9,0.04282859046350052,0.06667654467328493,13,0.05555555555555555
1_2_11,110000000010000000,9,0.04282859046350052,0.06667654467328493,14,0.05555555555555555
4_7_17,000100100000000010,9,0.04282859046350052,0.06667654467328493,13,0.05555555555555555
2_3,011000000000000000,9,0.04282859046350052,0.06667654467328493,4,0.05555555555555555
2_7_10,010000100100000000,9,0.04282859046350052,0.06667654467328493,10,0.05555555555555555
1_5_7_10,100010100100000000,9,0.04282859046350052,0.06667654467328493,10,0.05555555555555555
